8.989197479518642453e-01,-4.237360316775267699e-01,1.113151481171310020e-01,7.140398295448890931e-01
-4.378054845830581798e-01,-8.783326237657685942e-01,1.919847902770801251e-01,-3.032027413810485239e-01
1.642085293614267000e-02,-2.213133016493198102e-01,-9.750644994573059998e-01,7.618138101557365705e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.447973651249045313e-01,-4.855562341591079800e-02,3.240374828437755927e-01,6.213219839027762648e-01
-3.777457596960780151e-02,-9.985059967016127747e-01,-3.948234999635619191e-02,3.557639422778349075e-02
3.254704598936041804e-01,2.506244173281392540e-02,-9.452200028305762780e-01,8.093461291129662172e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.026505485315109434e-01,4.292480914492975419e-01,-3.111371438606987117e-02,8.302955299853325144e-01
3.957577302256851670e-01,-8.562822534849050538e-01,-3.318983599438650733e-01,2.161487367035657692e-01
-1.691088590298456262e-01,2.872747436757173700e-01,-9.428018961816292398e-01,8.096186996271540481e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.807289678012112377e-01,4.277482066229972846e-01,2.033419705978643244e-01,6.186814972644754107e-01
4.660016638100151765e-01,-8.593295318825944218e-01,-2.107016966252041601e-01,4.433307745281993562e-01
8.461048754209302136e-02,2.803287844036919663e-01,-9.561677875941222426e-01,6.541886982149235363e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.677781754375623713e-01,8.230128225327062452e-01,-1.666845654345523037e-02,4.353809648414359024e-01
8.231560920788898450e-01,-5.678035747876295503e-01,3.626090429027220216e-03,6.509089516305602841e-01
-6.480090292813609279e-03,-1.577955655706209104e-02,-9.998544964266851132e-01,7.908431277111015456e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.235403539014377383e-01,3.061797622108650696e-01,2.309267587961717771e-01,3.839216337309900307e-01
3.116954333306988234e-01,-9.500911452446142436e-01,1.314429794871940782e-02,4.748220280195044607e-01
2.234259867526493804e-01,5.983952657128027708e-02,-9.728823461772392323e-01,8.761826177425947604e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
5.714720052592935362e-01,8.187791346686010829e-01,5.495885584925088579e-02,3.121421425380908055e-01
8.155993734734972023e-01,-5.740974983001204679e-01,7.217842084156717020e-02,6.791878900974395172e-01
9.064992661089635306e-02,3.576461502689677607e-03,-9.958763978167970432e-01,6.809101391524736702e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.984710028877222143e-01,5.912282913231881043e-01,1.135480739006097389e-01,5.922160135689491511e-01
5.612869174944066231e-01,-7.992764751447851701e-01,2.147419673230055726e-01,5.579410883709239322e-01
2.177178306825194309e-01,-1.077321856233824093e-01,-9.700477938656976162e-01,8.335294151867488344e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
8.944089571866995492e-01,3.801650399636851141e-01,-2.355995749011662865e-01,7.887568892525974595e-01
3.950532012559997419e-01,-9.184883795631325620e-01,1.766535549817172673e-02,4.130014700175924092e-01
-2.096797211978000397e-01,-1.088744184687105709e-01,-9.716896497964316870e-01,5.908980983482422511e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
9.988091325909577156e-01,2.037591818334670915e-03,-4.874592159843207234e-02,7.288979068777081682e-01
-1.201188018776082680e-02,-9.581024826679688244e-01,-2.861736316291739191e-01,1.505520736621502875e-01
-4.728669355382663503e-02,2.864183669478218008e-01,-9.569370343380436683e-01,7.496300087717746585e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
