time,ref_pos,ref_vel,meas_pos,meas_vel
0.0051419734954833984,1.5834766544211583,0.0,1.5708,0.0026
0.010130882263183594,1.5957763866314614,0.0,1.5708,0.0026
0.015133380889892578,1.608103459497062,0.0,1.5708,0.0026
0.020156383514404297,1.6204717828795556,0.0,1.5708,0.0026
0.025140047073364258,1.6327310234091992,0.0,1.5708,0.0026
0.030145645141601562,1.6450289337381763,0.0,1.5708,0.0026
0.035149574279785156,1.657304396484161,0.0,1.5708,0.0026
0.04012560844421387,1.6694902341452096,0.0,1.5741,0.1964
0.04522442817687988,1.6819517182869688,0.0,1.5741,0.1964
0.05006980895996094,1.6937674187120983,0.0,1.5741,0.1964
0.05512189865112305,1.706056804557127,0.0,1.5741,0.1964
0.06012725830078125,1.7181989261338289,0.0,1.5801,0.3291
0.06513690948486328,1.7303149630759609,0.0,1.5801,0.3291
0.07014727592468262,1.7423932103634812,0.0,1.5801,0.3291
0.07507753372192383,1.754236858647834,0.0,1.5801,0.3291
0.08012175559997559,1.7663087080730733,0.0,1.5801,0.3291
0.08513617515563965,1.7782605778192113,0.0,1.5879,0.4231
0.09031057357788086,1.7905397498706248,0.0,1.5879,0.4231
0.09518289566040039,1.80204905267157,0.0,1.5879,0.4231
0.10024237632751465,1.8139430781335713,0.0,1.5879,0.4231
0.10530567169189453,1.825784572444071,0.0,1.5879,0.4231
0.1101980209350586,1.8371650212386759,0.0,1.6066,1.0531
0.11547541618347168,1.8493705284965178,0.0,1.6066,1.0531
0.12015151977539062,1.8601214979713896,0.0,1.6066,1.0531
0.12515950202941895,1.8715661969984387,0.0,1.6066,1.0531
0.13022685050964355,1.8830707772011628,0.0,1.6066,1.0531
0.13515782356262207,1.8941897918771913,0.0,1.6066,1.0531
0.1402730941772461,1.9056423407060141,0.0,1.6373,1.6815
0.14530277252197266,1.916818960298855,0.0,1.6373,1.6815
0.15012693405151367,1.927457760039801,0.0,1.6373,1.6815
0.15513134002685547,1.9384074551451442,0.0,1.6373,1.6815
0.16018414497375488,1.9493708540851915,0.0,1.6373,1.6815
0.16514110565185547,1.9600336164035899,0.0,1.6798,2.3019
0.1701807975769043,1.970777556159029,0.0,1.6798,2.3019
0.17519903182983398,1.9813761318280907,0.0,1.6798,2.3019
0.18014788627624512,1.9917282500935465,0.0,1.6798,2.3019
0.18514609336853027,2.002080325045128,0.0,1.6798,2.3019
0.19016075134277344,2.012359607438189,0.0,1.6798,2.3019
0.19519615173339844,2.0225711353731826,0.0,1.6798,2.3019
0.2003951072692871,2.032995695395802,0.0,1.7274,2.5362
0.20522427558898926,2.042568390068741,0.0,1.7274,2.5362
0.21027064323425293,2.0524555764313783,0.0,1.7274,2.5362
0.21520113945007324,2.061998838781101,0.0,1.7274,2.5362
0.22030854225158691,2.071760216008398,0.0,1.7274,2.5362
0.2252187728881836,2.081023183693808,0.0,1.7274,2.5362
0.23016977310180664,2.0902401282047074,0.0,1.7274,2.5362
0.2351677417755127,2.0994170444709113,0.0,1.7795,3.0421
0.2401421070098877,2.1084212237186444,0.0,1.7795,3.0421
0.24523162841796875,2.1174979430747523,0.0,1.7795,3.0421
0.2501823902130127,2.126193116694499,0.0,1.7795,3.0421
0.2552459239959717,2.1349473632863685,0.0,1.7795,3.0421
0.26015138626098633,2.1432922042746387,0.0,1.8319,3.1416
0.2653377056121826,2.1519669163649966,0.0,1.8319,3.1416
0.2701537609100342,2.1598842155538103,0.0,1.8319,3.1416
0.27527451515197754,2.168154461229598,0.0,1.8319,3.1416
0.2802293300628662,2.1760095683975362,0.0,1.8319,3.1416
0.2852156162261963,2.1837665237628685,0.0,1.8319,3.1416
0.29016923904418945,2.19132373217525,0.0,1.8843,3.1416
0.2953071594238281,2.1990033104576314,0.0,1.8843,3.1416
0.30017757415771484,2.2061319741355754,0.0,1.8843,3.1416
0.30516791343688965,2.2132818751402565,0.0,1.8843,3.1416
0.3102538585662842,2.220406265275178,0.0,1.8843,3.1416
0.31513500213623047,2.227087835667062,0.0,1.8843,3.1416
0.3201942443847656,2.233850305124881,0.0,1.9366,3.1416
0.3251643180847168,2.240330500325923,0.0,1.9366,3.1416
0.3302762508392334,2.246825361225397,0.0,1.9366,3.1416
0.3351767063140869,2.252887873665451,0.0,1.9366,3.1416
0.3401451110839844,2.2588694022733495,0.0,1.989,3.1416
0.3453376293182373,2.264941575322256,0.0,1.989,3.1416
0.35014843940734863,2.270402566286611,0.0,1.989,3.1416
0.3551642894744873,2.275926126728007,0.0,1.989,3.1416
0.36020541191101074,2.2813011049094123,0.0,1.989,3.1416
0.3651540279388428,2.286404131398786,0.0,1.989,3.1416
0.37015295028686523,2.291383428324274,0.0,2.0413,3.0749
0.3752412796020508,2.296269260234523,0.0,2.0413,3.0749
0.3801696300506592,2.30082476328887,0.0,2.0413,3.0749
0.3851745128631592,2.30527190734265,0.0,2.0413,3.0749
0.3902113437652588,2.3095641196705117,0.0,2.0413,3.0749
0.3951871395111084,2.3136226975860676,0.0,2.093,2.9149
0.4006364345550537,2.3178592150042383,0.0,2.093,2.9149
0.40511631965637207,2.3211781422345497,0.0,2.093,2.9149
0.4100823402404785,2.324683497712817,0.0,2.093,2.9149
0.4151265621185303,2.328056200803114,0.0,2.093,2.9149
0.42017436027526855,2.3312409305171786,0.0,2.1418,2.5603
0.4252779483795166,2.334266441316185,0.0,2.1418,2.5603
0.4302246570587158,2.3370116537584247,0.0,2.1418,2.5603
0.43515491485595703,2.3395636156243693,0.0,2.1418,2.5603
0.44014906883239746,2.341960620325597,0.0,2.1418,2.5603
0.44513988494873047,2.3441663847877248,0.0,2.1842,2.2276
0.45029735565185547,2.3462460529401343,0.0,2.1842,2.2276
0.4553103446960449,2.3480723683991993,0.0,2.1842,2.2276
0.4604060649871826,2.3497312444438414,0.0,2.1842,2.2276
0.4651834964752197,2.3511052052310504,0.0,2.1842,2.2276
0.4701406955718994,2.3523450460297743,0.0,2.2209,1.9283
0.4751856327056885,2.3534122191230997,0.0,2.2209,1.9283
0.480191707611084,2.3542768526077205,0.0,2.2209,1.9283
0.48516249656677246,2.35494365394767,0.0,2.2209,1.9283
0.4901411533355713,2.3554198337894157,0.0,2.2209,1.9283
0.49528050422668457,2.3557100443081453,0.0,2.2209,1.9283
0.500234842300415,2.3557961131502383,0.0,2.2521,1.646
0.505173921585083,2.355692628998103,0.0,2.2521,1.646
0.510164737701416,2.355396110420967,0.0,2.2521,1.646
0.5152482986450195,2.354895794831541,0.0,2.2521,1.646
0.520186185836792,2.3542183435552193,0.0,2.2521,1.646
0.5251541137695312,2.353346522284159,0.0,2.278,1.3744
0.5303609371185303,2.3522281984244793,0.0,2.278,1.3744
0.5351574420928955,2.351012974201193,0.0,2.278,1.3744
0.5401451587677002,2.3495614191382814,0.0,2.278,1.3744
0.5454285144805908,2.3478152921581743,0.0,2.278,1.3744
0.5502433776855469,2.346037554644938,0.0,2.278,1.3744
0.5551552772521973,2.3440412177987344,0.0,2.278,1.3744
0.5602371692657471,2.341782006185682,0.0,2.2992,1.1258
0.5653054714202881,2.33933311173048,0.0,2.2992,1.1258
0.5701823234558105,2.336792773970704,0.0,2.2992,1.1258
0.5752906799316406,2.333939048323943,0.0,2.2992,1.1258
0.5802161693572998,2.3310013548591346,0.0,2.2992,1.1258
0.5851609706878662,2.3278690517005405,0.0,2.2992,1.1258
0.5901241302490234,2.3245414069050248,0.0,2.315,0.8388
0.5951945781707764,2.3209526053418417,0.0,2.315,0.8388
0.600151538848877,2.3172601224069633,0.0,2.315,0.8388
0.6051557064056396,2.313348861829453,0.0,2.315,0.8388
0.6102104187011719,2.3092117897791873,0.0,2.315,0.8388
0.615138053894043,2.304999477309608,0.0,2.3248,0.5157
0.6203446388244629,2.300357559960485,0.0,2.3248,0.5157
0.6251606941223145,2.295890011550052,0.0,2.3248,0.5157
0.6301524639129639,2.291084298144897,0.0,2.3248,0.5157
0.6351194381713867,2.2861266360182055,0.0,2.3248,0.5157
0.6400752067565918,2.281006573376968,0.0,2.3248,0.5157
0.6453430652618408,2.2753753536625148,0.0,2.3288,0.2193
0.6501264572143555,2.2700948104834273,0.0,2.3288,0.2193
0.6551430225372314,2.2643872304956956,0.0,2.3288,0.2193
0.6602451801300049,2.258405573736753,0.0,2.3288,0.2193
0.665144681930542,2.2524952118897628,0.0,2.3288,0.2193
0.6701598167419434,2.2462781032774144,0.0,2.3265,-0.1153
0.675227165222168,2.239825969381959,0.0,2.3265,-0.1153
0.6802501678466797,2.2332629645086852,0.0,2.3265,-0.1153
