0.233	-0.071	0.312	-0.043	0.010	-0.008	
-0.018	0.371	0.425	0.045	0.011	0.016	
0.032	0.014	0.021	-0.017	-0.007	-0.002	
-0.077	-0.267	0.006	0.001	-0.027	-0.003	
0.364	-0.896	0.016	-0.087	-0.006	-0.012	
0.162	0.194	-0.012	0.017	-0.033	0.001	
0.083	-0.193	0.174	-0.009	-0.033	-0.003	
0.072	0.324	0.035	0.015	-0.003	0.004	
0.133	-0.214	0.155	-0.025	0.027	0.006	
-0.128	0.261	0.457	0.033	-0.003	-0.006	
0.042	0.256	0.157	-0.005	0.013	0.006	
-0.138	0.045	0.090	0.005	-0.019	-0.004	
0.373	-0.052	0.192	-0.011	-0.064	-0.015	
0.052	0.088	0.280	0.007	-0.007	0.012	
-0.138	0.181	-0.122	0.007	0.003	0.000	
0.062	0.116	0.119	0.017	-0.007	0.002	
0.253	-0.163	0.154	0.013	-0.029	-0.005	
-0.048	0.304	0.036	0.033	0.003	0.006	
0.073	0.008	0.251	0.001	-0.015	-0.008	
-0.138	0.301	-0.104	0.037	0.009	0.002	
-0.158	0.351	-0.105	0.043	-0.003	-0.002	
-0.078	0.021	-0.149	0.009	-0.019	-0.008	
0.132	0.074	-0.000	0.001	-0.039	-0.005	
0.063	-0.076	0.042	0.025	-0.013	-0.010	
0.172	0.167	0.168	0.019	-0.043	0.001	
-0.097	-0.106	0.013	-0.013	0.015	-0.010	
-0.077	-0.215	0.125	-0.015	-0.004	-0.018	
0.203	-0.247	-0.055	-0.015	-0.011	-0.008	
-0.138	0.229	-0.223	0.005	0.017	0.002	
0.143	-0.321	0.287	-0.021	-0.019	-0.002	
-0.027	-0.062	0.262	0.011	0.017	0.012	
-0.008	0.162	-0.082	0.021	0.013	-0.000	
-0.047	-0.074	0.142	0.015	0.011	-0.006	
-0.118	0.034	0.030	0.003	0.015	-0.004	
0.083	-0.446	-0.001	-0.027	-0.003	0.000	
-0.127	-0.295	0.086	-0.017	-0.017	-0.006	
-0.188	0.161	-0.122	0.015	0.013	-0.002	
-0.157	-0.037	-0.038	0.023	-0.007	0.012	
0.152	0.097	0.169	0.005	-0.023	-0.004	
0.243	-0.283	0.186	-0.025	-0.005	0.008	
-0.007	-0.032	0.272	-0.009	0.017	-0.010	
0.152	0.306	0.136	0.027	-0.027	-0.001	
-0.197	-0.097	0.013	0.003	-0.013	-0.008	
0.243	-0.212	0.255	-0.013	-0.009	-0.002	
-0.048	0.170	-0.202	0.013	0.011	-0.006	
-0.348	0.164	0.068	0.029	0.021	0.004	
-0.058	0.334	0.025	-0.005	0.011	-0.008	
0.223	-0.186	0.024	-0.025	-0.010	-0.012	
0.052	0.185	0.058	0.005	0.009	-0.002	
-0.218	0.061	-0.110	0.007	-0.005	0.004	
0.103	-0.128	-0.127	-0.011	-0.011	-0.006	
0.112	0.011	-0.169	-0.017	-0.029	-0.016	
-0.158	0.079	-0.260	0.011	-0.001	0.002	
0.313	-0.439	-0.162	-0.051	-0.018	-0.012	
-0.158	0.082	-0.080	0.015	0.013	-0.000	
-0.068	0.242	-0.093	0.011	0.023	0.012	
0.002	0.177	0.198	0.007	0.003	0.010	
0.032	0.166	0.128	0.021	-0.027	-0.003	
0.013	-0.069	-0.128	-0.021	0.007	-0.006	
-0.188	0.116	-0.441	0.033	0.025	0.002	
-0.057	-0.197	-0.026	-0.025	0.001	-0.008	
0.062	0.045	0.100	-0.001	-0.011	-0.006	
0.243	-0.066	-0.018	0.001	-0.017	-0.004	
0.232	0.036	0.140	0.005	-0.017	0.010	
0.173	-0.248	-0.085	0.005	-0.003	0.004	
0.112	0.311	-0.184	0.003	-0.009	-0.002	
-0.117	-0.277	-0.034	-0.017	-0.007	0.000	
-0.297	-0.088	-0.047	0.016	0.017	-0.001	
0.173	-0.056	0.032	0.007	-0.028	-0.015	
0.092	-0.029	-0.159	-0.009	-0.020	-0.016	
0.133	-0.250	-0.245	-0.001	-0.005	-0.010	
-0.188	0.054	0.030	0.005	0.012	-0.016	
-0.127	-0.095	0.103	0.015	-0.007	-0.004	
0.112	0.219	0.297	0.007	0.002	-0.020	
0.212	0.022	-0.119	0.003	-0.035	-0.003	
0.102	0.344	-0.005	0.023	0.005	-0.014	
0.112	0.203	-0.043	0.015	0.023	0.016	
-0.148	0.419	-0.226	0.041	0.011	0.008	
0.023	-0.403	-0.352	-0.027	-0.005	-0.008	
-0.327	-0.108	-0.047	-0.005	-0.005	-0.002	
-0.268	0.095	0.140	0.009	0.009	-0.002	
0.173	-0.164	0.114	-0.015	-0.014	-0.014	
-0.027	-0.208	-0.085	-0.003	0.006	-0.014	
-0.108	0.269	-0.244	0.047	-0.005	-0.004	
0.122	-0.022	-0.319	-0.019	-0.016	-0.018	
0.053	-0.024	0.141	-0.007	-0.019	0.000	
-0.188	0.049	-0.260	0.009	0.009	-0.012	
0.122	0.053	-0.020	0.009	0.001	0.002	
-0.148	0.293	-0.024	0.025	-0.003	0.000	
0.033	-0.143	0.183	-0.021	0.018	-0.016	
-0.119	0.483	-0.007	0.047	0.021	0.004	
-0.248	0.275	0.096	0.023	-0.005	-0.016	
0.263	-0.333	0.147	-0.033	0.005	-0.004	
0.103	-0.138	-0.117	0.005	-0.009	-0.008	
0.102	0.039	-0.250	-0.011	0.001	-0.010	
0.273	-0.172	0.204	-0.005	-0.040	-0.015	
-0.117	-0.161	-0.256	-0.017	-0.018	-0.014	
-0.128	0.229	-0.223	0.039	-0.015	-0.004	
-0.027	-0.315	0.086	-0.031	0.023	-0.004	
0.033	-0.246	0.015	-0.005	0.029	-0.012	
-0.278	0.211	-0.092	0.041	0.033	0.005	
-0.087	-0.157	-0.026	0.007	0.009	-0.010	
0.053	-0.130	-0.227	0.009	-0.017	0.002	
-0.028	0.030	-0.209	0.015	-0.001	0.002	
-0.148	0.385	0.085	0.027	0.017	0.004	
0.133	-0.221	0.305	-0.007	0.007	-0.010	
0.112	0.224	-0.003	0.013	-0.017	-0.004	
-0.198	0.100	-0.211	0.033	0.001	0.000	
0.274	-0.599	-0.199	-0.049	-0.032	-0.017	
0.143	-0.132	-0.347	-0.007	0.009	0.002	
-0.228	0.197	0.248	0.035	0.021	-0.000	
-0.078	0.054	0.010	0.011	0.015	0.004	
-0.148	0.001	-0.129	0.005	0.037	0.001	
0.093	-0.122	-0.317	-0.009	0.001	-0.006	
-0.227	-0.028	-0.068	0.015	0.031	0.002	
0.253	-0.097	-0.087	0.001	-0.021	-0.008	
-0.058	0.311	-0.124	0.015	0.011	-0.004	
-0.258	0.159	-0.212	0.043	0.025	-0.000	
0.283	-0.065	0.032	-0.017	-0.009	-0.008	
-0.058	-0.029	-0.128	0.005	0.006	-0.020	
0.041	0.548	-0.338	0.049	-0.001	-0.002	
-0.257	-0.039	-0.088	0.015	0.021	0.002	
-0.128	0.122	-0.051	0.003	0.015	0.004	
-0.028	0.309	-0.234	0.021	0.005	-0.002	
-0.207	-0.082	-0.318	0.011	0.011	-0.014	
-0.118	0.410	-0.196	0.043	0.009	0.002	
-0.378	0.068	-0.270	0.007	0.015	-0.012	
-0.018	-0.008	-0.109	0.014	-0.021	-0.010	
-0.119	0.365	-0.465	0.029	0.027	-0.006	
-0.087	-0.324	-0.443	-0.031	-0.002	-0.014	
0.003	-0.364	-0.463	-0.017	-0.018	-0.012	
0.403	-0.215	-0.526	-0.041	-0.014	-0.020	
-0.158	0.056	-0.400	0.011	0.003	-0.002	
-0.118	0.253	-0.033	0.033	0.023	0.006	
0.212	0.323	-0.065	0.035	-0.017	-0.004	
-0.038	0.096	0.149	0.041	0.011	0.006	
0.142	0.023	-0.019	-0.013	0.001	0.000	
-0.078	0.426	0.154	0.031	0.029	-0.000	
0.122	0.221	-0.153	0.045	-0.015	0.004	
-0.198	0.046	-0.410	-0.013	0.029	-0.004	
-0.127	-0.050	-0.188	0.029	0.005	-0.002	
-0.108	0.117	0.199	0.017	0.022	-0.022	
-0.328	0.136	-0.401	0.011	0.033	-0.007	
-0.408	0.128	-0.261	0.016	0.049	-0.005	
-0.009	0.543	-0.058	0.033	0.011	-0.008	
-0.098	-0.016	-0.529	0.017	0.013	-0.004	
0.293	-0.212	-0.346	-0.017	-0.032	-0.025	
-0.117	-0.503	-0.370	-0.035	0.012	-0.024	
0.012	-0.016	-0.539	0.011	-0.003	0.004	
-0.278	0.172	-0.082	0.019	0.033	-0.001	
0.182	0.347	-0.425	0.027	0.019	-0.002	
-0.088	-0.062	-0.318	-0.019	-0.008	-0.016	
0.083	-0.224	0.165	-0.029	0.007	-0.008	
-0.149	0.464	0.043	0.035	0.019	-0.012	
0.303	-0.273	-0.424	-0.013	-0.028	-0.017	
-0.107	-0.193	-0.376	-0.011	0.006	-0.014	
0.211	0.511	-0.148	0.035	0.003	-0.000	
0.152	0.180	-0.252	-0.007	-0.001	0.004	
-0.288	0.238	-0.263	0.016	0.073	-0.009	
-0.058	0.329	-0.265	0.019	0.013	0.004	
